docname,from,to,pre,keyword,post,pattern
doc_177,250,250,kunne v<c3><a5>ge <c3><a5> gjennomf<c3><b8>re en del av de,omstillingene,som m<c3><a5> gj<c3><b8>res Derfor er samarbeidet mellom staten,omstilling*
doc_177,365,365,med p<c3><a5> Det er ogs<c3><a5> Senterpartiets oppfatning at,omstillingen,i maritim sektor m<c3><a5> oppmuntres gjennom fortrinn som,omstilling*
doc_178,263,263,n<c3><a6>ringslivet er avhengig av for <c3><a5> kunne gjennomf<c3><b8>re,omstilling,Det n<c3><a6>ringslivet er avhengig av er forutsigbarhet og,omstilling*
doc_178,701,701,cruiseskipene kunne det Da gir vi tid til,omstilling,vi gir muligheter for havnene til <c3><a5> gj<c3><b8>re,omstilling*
doc_216,153,153,samtidig bidra til den langsiktige og sv<c3><a6>rt krevende,omstillingen,norsk <c3><b8>konomi g<c3><a5>r gjennom Det har regjeringen m<c3><b8>tt,omstilling*
doc_261,116,116,er uhyre viktig Det er en fundamental gr<c3><b8>nn,omstilling,Norge skal igjennom Vi skal bli et lavutslippssamfunn,omstilling*
doc_264,746,746,det etter min oppfatning <c3><a5> satse p<c3><a5> en,omstilling,i Halden i stedet for <c3><a5> la folk,omstilling*
doc_277,71,71,statsr<c3><a5>den til at lokalsamfunn har det vanskeleg under,omstilling,og han viste <c3><b2>g til parallellen mellom situasjonen,omstilling*
doc_277,114,114,m<c3><a5> Melbu og Stamsund f<c3><b8>rebu seg p<c3><a5> ei,omstilling,n<c3><a5>r det aldri f<c3><b8>r har vore landa s<c3><a5>,omstilling*
doc_279,44,44,med h<c3><b8>y arbeidsledighet og et stort behov for,omstilling,krever en aktiv n<c3><a6>ringspolitikk Det er vanskelig <c3><a5>,omstilling*
doc_279,160,160,forsvare sin egen n<c3><a6>ringsn<c3><b8>ytralitet i en tid der,omstilling,og det <c3><a5> skape nye arbeidsplasser er uhyre,omstilling*
doc_281,1478,1478,samfunns og velferdsmodellen vist en unik evne til,omstilling,Det vi har f<c3><a5>tt til i Norden er,omstilling*
doc_281,1525,1525,i Brussel Formannskapet har tre pilarer Norden i,omstilling,Norden i Europa og Norden i verden Gjennom,omstilling*
doc_281,1659,1659,iverksette prosjekter for <c3><a5> styrke nordiske byers gr<c3><b8>nne,omstilling,og konkurransekraft Et styrket nordisk samarbeid er ogs<c3><a5>,omstilling*
doc_281,3950,3950,p<c3><a5> energiomr<c3><a5>det Energimarkedene i Europa er preget av,omstilling,Regjeringens budskap til EU er at Norge vil,omstilling*
