docname,from,to,pre,keyword,post,pattern
doc_594,155,155,v<c3><a6>re en veldig veldig viktig brobygger inn i,fornybarsamfunnet,Man trenger noe som kan spille p<c3><a5> lag,fornybar*
doc_594,166,166,noe som kan spille p<c3><a5> lag med de,fornybare,kildene som vind og sol inntil man har,fornybar*
doc_611,99,99,er derfor vi sier Vi m<c3><a5> over p<c3><a5>,fornybar,energiforsyning og Norge m<c3><a5> ha en planmessig avvikling,fornybar*
doc_613,69,69,i verden bl.a p<c3><a5> grunn av konkurranse fra,fornybar,teknologi faller slik at det blir mindre og,fornybar*
doc_655,92,92,<c3><a5> satse p<c3><a5> n<c3><a6>ringer som er gr<c3><b8>nne og,fornybare,i hele landet Det er faktisk helt n<c3><b8>dvendig,fornybar*
doc_666,151,151,en politikk som g<c3><a5>r i retning av de,fornybare,n<c3><a6>ringene de fornybare naturresursene Men det krever en,fornybar*
doc_666,154,154,g<c3><a5>r i retning av de fornybare n<c3><a6>ringene de,fornybare,naturresursene Men det krever en forutsigbarhet i de,fornybar*
doc_686,550,550,er her ogs<c3><a5> verdt <c3><a5> nevne at den,fornybare,vannkraften opererer med et mye lavere niv<c3><a5> p<c3><a5>,fornybar*
doc_713,432,432,har v<c3><a6>rt spesielt opptatt av f.eks innsats innenfor,fornybar,energi innsats mot naturkriminalitet som er et internasjonalt,fornybar*
doc_715,395,395,pst i regjeringsperioden Vi <c3><b8>ker ogs<c3><a5> satsingen p<c3><a5>,fornybar,energi Vi bidrar med <c3><a5> bekjempe klimaendringer gjennom,fornybar*
doc_717,684,684,Norfund <c3><b8>ker den m<c3><a5>lrettede satsingen p<c3><a5> prosjekter innen,fornybar,energi og bidrar med det til et b<c3><a6>rekraftig,fornybar*
doc_722,88,88,uendelig Representanten Huitfeldt stilte sp<c3><b8>rsm<c3><a5>l om satsingen p<c3><a5>,fornybar,energi Vi m<c3><a5> bare erkjenne at fjor<c3><a5>ret var,fornybar*
doc_722,158,158,vi fortsatt kan v<c3><a6>re en sentral samarbeidspartner innenfor,fornybar,energi i viktige samarbeidsland som Liberia Nepal Mosambik,fornybar*
doc_722,191,191,framover mot en videref<c3><b8>ring og fornyet innsats innenfor,fornybar,energi Investeringer i fornybar energi er kapitalintensivt Regjeringen,fornybar*
doc_722,195,195,og fornyet innsats innenfor fornybar energi Investeringer i,fornybar,energi er kapitalintensivt Regjeringen har derfor <c3><b8>nsket <c3><a5>,fornybar*
doc_722,207,207,Regjeringen har derfor <c3><b8>nsket <c3><a5> dreie innsatsen innenfor,fornybar,energi mer i retning av private investeringer Da,fornybar*
doc_722,229,229,<c3><a5> nevne at kapitaltilf<c3><b8>rselen til Norfunds investeringer i,fornybar,energi opprettholdes p<c3><a5> et h<c3><b8>yt niv<c3><a5> i budsjettet,fornybar*
doc_725,17,17,at hun og regjeringa hadde <c3><b8>kt satsingen p<c3><a5>,fornybar,energi I var den posten p<c3><a5> mrd kr,fornybar*
doc_737,834,834,for 2014<e2><80><93>2017 Her prioriteres bl.a det nordiske elektrisitetsmarkedet,fornybar,energi energiforskning og nordisk samarbeid i internasjonale fora,fornybar*
doc_767,94,94,eg <c3><b8>nskjer <c3><a5> utfordra p<c3><a5> er etableringa av,Fornybar,AS Dette vil gje arbeidsplassar til drift av,fornybar*
doc_767,167,167,skal lokaliserast og n<c3><a5>r kan me venta at,Fornybar,AS er etablert,fornybar*
doc_768,15,15,vedtok Stortinget budsjettet I det er etableringen av,Fornybar,AS klarert Der er rammebetingelsene for hvordan det,fornybar*
doc_794,127,127,i eit omr<c3><a5>de som ikkje berre representerer uvurderlege,fornybare,verdiar men som <c3><b2>g er eit klassisk naturvernsikon,fornybar*
doc_795,158,158,med utvikling av gr<c3><b8>nn teknologi og satsing p<c3><a5>,fornybar,som vi er godt i gang med i,fornybar*
doc_809,1296,1296,flertall mener ogs<c3><a5> at det risikojusterte avkastningskravet for,Fornybar,AS som et minimum ikke b<c3><b8>r v<c3><a6>re h<c3><b8>yere,fornybar*
doc_810,673,673,fra Arbeiderpartiet venter spent p<c3><a5> hva det nye,Fornybar,AS skal bli Fra Arbeiderpartiets side forventer vi,fornybar*
doc_812,229,229,blir foredla Tre er i tillegg eit viktig,fornybart,r<c3><a5>stoff som i mange samanhengar kan erstatte petroleumsbasert,fornybar*
doc_813,377,377,fond for gr<c3><b8>nt karbon Me ventar enno p<c3><a5>,Fornybar,AS Me er litt spente p<c3><a5> korleis det,fornybar*
doc_817,383,383,over at de ikke er med p<c3><a5> at,Fornybar,AS n<c3><a5>r de f<c3><b8>rst har etablert det m<c3><a5>,fornybar*
doc_817,455,455,er de med p<c3><a5> v<c3><a5>r merknad om at,Fornybar,AS skal bidra til utvikling av arbeidsplasser som,fornybar*
doc_818,150,150,oljesektoren samtidig som vi ikke reinvesterte i den,fornybare,skogsektoren Den krever planting og den krever ungskogpleie,fornybar*
doc_819,345,345,endringen av Investinors mandat Vi g<c3><a5>r mot en,fornybar,framtid og skogen er en fantastisk ressurs Den,fornybar*
doc_837,71,71,viser ogs<c3><a5> at det er gode vindforhold for,fornybar,kraftproduksjon i flere innlandsomr<c3><a5>der S<c3><a5> til tidsbruken i,fornybar*
doc_837,332,332,bidra til at det n<c3><a5> skapes b<c3><a5>de mer,fornybar,energi og arbeidsplasser og aktivitet i Marker Og,fornybar*
