docname,from,to,pre,keyword,post,pattern
doc_4458,135,135,karbon i v<c3><a5>re myrer er resultatet av forskning,Karbonfangst,kan ikke gjennomf<c3><b8>res uten en betydelig forskningsinnsats Det,karbonfangst*
doc_4480,144,144,raskere fram <e2><80><93> i hvert fall gass uten,karbonfangst,og lagring og omdanning til hydrogen Min sterke,karbonfangst*
doc_4499,174,174,eksempel p<c3><a5> en slik utvikling av teknologi er,karbonfangst,og lagring <c3><85> lykkes med det er en,karbonfangst*
doc_4510,101,101,ned Vi trenger pengene til f.eks <c3><a5> utvikle,karbonfangst,og lagring <e2><80><93> en utrolig dyr investering Der,karbonfangst*
doc_4846,339,339,ein berre skulle kj<c3><b8>pa betong der ein har,karbonfangst,og lagring trur eg vil vera eit sv<c3><a6>rt,karbonfangst*
doc_4851,132,132,vi ikke kunnet bygge noe med sement f<c3><b8>r,karbonfangst,og lagring eventuelt var ferdigstilt og da kunne,karbonfangst*
doc_4851,220,220,eller det <c3><a5> v<c3><a6>re med p<c3><a5> prosjekter med,karbonfangst,og lagring som vi vil f<c3><a5> full anledning,karbonfangst*
doc_5002,272,272,viktig Som representanten N<c3><a6>vra var inne p<c3><a5> er,karbonfangst,og lagring en mulighet og ogs<c3><a5> hydrogenproduksjon Men,karbonfangst*
doc_5006,303,303,spiller norsk gass en viktig rolle det med,karbonfangst,og lagring er viktig og det er ogs<c3><a5>,karbonfangst*
doc_5011,77,77,som representanten Heggelund inviterte til N<c3><a5>r det gjelder,karbonfangst,og lagring har Arbeiderpartiet kommet med to forslag,karbonfangst*
doc_5069,593,593,pengar for <c3><a5> f<c3><a5> fart p<c3><a5> arbeidet med,karbonfangst,og lagring n<c3><a5>r ein borer pr<c3><b8>vebr<c3><b8>nn for lagra,karbonfangst*
doc_5148,1156,1156,og vi skal ha store ambisjoner for storskala,karbonfangst,og lagring Det er helt avgj<c3><b8>rende for <c3><a5>,karbonfangst*
doc_5152,211,211,er <c3><b8>kende utslipp i fjor manglende innsats for,karbonfangst,og lagring nye oljelisenser i stedet for <c3><a5>,karbonfangst*
doc_5169,684,684,som drivarar i norsk <c3><b8>konomi som bioindustri hydrogen,karbonfangst,maritime og digitale n<c3><a6>ringar Skal vi klare dette,karbonfangst*
doc_5177,496,496,med og utvikle nye gr<c3><b8>nne n<c3><a6>ringer framover som,karbonfangst,og lagring hydrogensatsing og havvind P<c3><a5> land er,karbonfangst*
doc_5184,296,296,m<c3><a5> v<c3><a6>re ut<c3><a5>lmodige og sikre raske beslutninger om,karbonfangstprosjekter,i industrien <e2><80><93> det motsatte av hva regjeringen,karbonfangst*
doc_5184,324,324,en viktig bro til framtiden Det handler om,karbonfangst,og lagring fra naturgass til hydrogen mineraler for,karbonfangst*
doc_5200,175,175,hjem og en egen hydrogenstrategi Vi satser p<c3><a5>,karbonfangst,og lagring for <c3><a5> f<c3><a5> ned utslippene fra,karbonfangst*
doc_5258,193,193,i smarte framtidsrettede l<c3><b8>sninger for <c3><a5> redusere klimautslipp,Karbonfangst,og lagring g<c3><a5>r definitivt sin gang til tross,karbonfangst*
doc_5258,253,253,akkord med sikkerheten Northern Lights-prosjektet som ogs<c3><a5> tilh<c3><b8>rer,karbonfangst,og lagring gj<c3><b8>r en kjempegod jobb og alle,karbonfangst*
doc_5264,225,225,ny kommersiell teknologi Ett av disse omr<c3><a5>dene er,karbonfangst,og lagring Lykkes vi her kan Norge bli,karbonfangst*
